Name,Address,City,State,Metro,Website,Phone,Email,Source
The Pet Shop Houston,1802 S Shepherd Dr,Houston,TX,Houston,https://www.thepetshophouston.com,(713) 524-1874,,Yahoo/We Love Doodles
Carter's Pet Market,6560 Shepherd Dr,Houston,TX,Houston,https://www.carterspetmarket.com,(713) 695-0802,,Yahoo/We Love Doodles
Houston Raw Pet Food,3839 Mangum Rd,Houston,TX,Houston,https://www.houstonrawpetfood.com,(832) 831-2500,,Yahoo/Yelp search
Paleo Pet Goods,8556 Katy Fwy,Houston,TX,Houston,https://www.paleopetgoods.com,(713) 955-2484,,Yahoo/Yelp search
Rosie's Pet Boutique,4625 Dexter Dr,Fort Worth,TX,Dallas/Fort Worth,https://www.rosiespetboutique.com,(817) 927-9797,,Yahoo/Yelp search
Glamour Paws,6333 Camp Bowie Blvd Suite 226,Fort Worth,TX,Dallas/Fort Worth,https://www.glamourpawsfw.com,(817) 989-7297,,Yahoo/Yelp search
Bark Avenue Market & Bakery,2540 W 7th St,Fort Worth,TX,Dallas/Fort Worth,https://www.barkavenuetx.com,(817) 923-2275,,Yahoo/Yelp search
Hollywood Feed - Fort Worth,4625 Donnelly Ave,Fort Worth,TX,Dallas/Fort Worth,https://www.hollywoodfeed.com,(817) 953-8701,,Yahoo/Yelp search
Three Dog Bakery - Fort Worth,1541 Merrimac Cir,Fort Worth,TX,Dallas/Fort Worth,https://www.threedogbakeryftworth.com,(817) 731-4033,,Yahoo/Yelp search
The Fish Place,828 Currie St,Fort Worth,TX,Dallas/Fort Worth,http://www.thefishplacefw.com,(817) 870-2272,,Yahoo/Yelp search
Teacup and Toy Pets Boutique,5133 S Hulen St,Fort Worth,TX,Dallas/Fort Worth,https://www.teacupandtoypets.com,(817) 292-1144,,Yahoo/Yelp search
Woof Gang Bakery & Grooming - Dallas,4017 Oak Lawn Ave,Dallas,TX,Dallas/Fort Worth,https://www.woofgangbakery.com,(214) 935-9663,,Yahoo search
Hollywood Feed - Dallas,4316 Lovers Ln,Dallas,TX,Dallas/Fort Worth,https://www.hollywoodfeed.com,(214) 350-0115,,Yahoo search
Three Dog Bakery - Dallas,3006 W 7th St,Dallas,TX,Dallas/Fort Worth,https://www.threedogbakery.com,(214) 943-0048,,Yahoo search
Kriser's Natural Pet - Dallas,3800 McKinney Ave Suite 180,Dallas,TX,Dallas/Fort Worth,https://www.krisers.com,(214) 599-0935,,Yahoo search
The Comforted Kitty,5757 Alpha Rd Suite 602,Dallas,TX,Dallas/Fort Worth,https://www.thecomfortedkitty.com,(972) 913-3392,,Yahoo search
Local Pet Market - Plano,8000 Coit Rd,Plano,TX,Dallas/Fort Worth,https://www.localpetmarket.com,(972) 312-0500,,Yahoo search
Feeders Pet Supply - Richardson,501 W Campbell Rd,Richardson,TX,Dallas/Fort Worth,https://www.feederspetsupply.com,(972) 479-9044,,Yahoo search
Hollywood Feed - Highland Park,4349 Lovers Ln,Dallas,TX,Dallas/Fort Worth,https://www.hollywoodfeed.com,(469) 941-5200,,Yahoo search
The Pooch Patio,1220 W Davis St,Dallas,TX,Dallas/Fort Worth,https://www.thepoochpatio.com,(214) 941-8822,,Yahoo search
Global Pet Foods - Frisco,3333 Preston Rd Suite 240,Frisco,TX,Dallas/Fort Worth,https://www.globalpetfoods.com,(469) 888-4810,,Yahoo search
Healthy Pet Austin - Arbor Trails,4301 W William Cannon Dr Suite K,Austin,TX,Austin,https://www.healthypetaustin.com,(512) 358-4277,,Yahoo search
Healthy Pet Austin - Lakeline,11066 Pecan Park Blvd,Austin,TX,Austin,https://www.healthypetaustin.com,(512) 250-8995,,Yahoo search
Healthy Pet Austin - Kyle,4940 Kyle Center Dr Suite 110,Kyle,TX,Austin,https://www.healthypetaustin.com,(512) 504-9099,,Yahoo search
Kriser's Natural Pet - Austin,4477 S Lamar Blvd Suite 400,Austin,TX,Austin,https://www.krisers.com,(512) 462-3233,,Yahoo search
Tomlinson's Feed - Anderson Ln,2207 W Anderson Ln,Austin,TX,Austin,https://www.tomlinsons.com,(512) 452-5082,,Yahoo search
Tomlinson's Feed - S Lamar,2631 S Lamar Blvd,Austin,TX,Austin,https://www.tomlinsons.com,(512) 444-4255,,Yahoo search
Tomlinson's Feed - Far West,3300 Bee Cave Rd,Austin,TX,Austin,https://www.tomlinsons.com,(512) 328-5200,,Yahoo search
Bark 'N Purr Pet Center,4604 Burnet Rd,Austin,TX,Austin,https://www.barknpurr.com,(512) 452-3883,,Yahoo search
Raw Paws Pet Food,12233 RR 620 N Suite 109,Austin,TX,Austin,https://www.rawpawspetfood.com,(512) 382-1200,,Yahoo search
Hollywood Feed - Austin,10710 Research Blvd Suite 322,Austin,TX,Austin,https://www.hollywoodfeed.com,(512) 614-7979,,Yahoo search
Woof Gang Bakery & Grooming - Austin,3201 Bee Cave Rd Suite 148,Austin,TX,Austin,https://www.woofgangbakery.com,(512) 582-4653,,Yahoo search
The Paw Shop,400 W 2nd St Suite 140,Austin,TX,Austin,,,,Yahoo search
Pet Habitat - Central,8868 Research Blvd,Austin,TX,Austin,https://www.pethabitataustin.com,(512) 821-2200,,Yahoo search
Austin Raw Pet Food,8868 Research Blvd Suite 105,Austin,TX,Austin,https://www.austinrawpetfood.com,(512) 766-8700,,Yahoo search
Nature's Select - Austin,2900 W Anderson Ln Suite 330,Austin,TX,Austin,https://www.natures-select.com,(512) 795-0090,,Yahoo search
Fifi & Fidos Pet Boutique,5120 Broadway St,San Antonio,TX,San Antonio,https://www.fifiandfidos.com,(210) 822-2525,info@fifiandfidos.com,Yahoo/Yelp search
Paw Basics,6407 N New Braunfels Ave,San Antonio,TX,San Antonio,https://www.pawbasics.com,(210) 463-5288,,Yahoo/Yelp search
Mike's Dog Store,3118 Wurzbach Rd,San Antonio,TX,San Antonio,https://www.mikesdogstore.com,(210) 899-0600,,Yahoo/Yelp search
PAWsitively Sweet Bakery,6555 N New Braunfels Ave,San Antonio,TX,San Antonio,https://www.pawsitivelysweetbakery.com,(210) 277-8440,,Yahoo/Yelp search
Healthy Paws & Co.,17803 La Cantera Pkwy Suite 106,San Antonio,TX,San Antonio,https://www.healthypawsandco.com,(210) 934-5300,,Yahoo/Yelp search
Woof Gang Bakery & Grooming - San Antonio,17610 La Cantera Pkwy,San Antonio,TX,San Antonio,https://www.woofgangbakery.com,(210) 775-5355,,Yahoo/Yelp search
Pet's Barn,19903 Stone Oak Pkwy,San Antonio,TX,San Antonio,https://www.petsbarn.com,(210) 497-3180,,Yahoo/Yelp search
Locke Hill Pet Feed & Lawn Supply,14810 Jones Maltsberger Rd,San Antonio,TX,San Antonio,https://www.lockehillpetfeed.com,(210) 655-7400,,Yahoo/Yelp search
Polly's Pet Shop,2718 Fredericksburg Rd,San Antonio,TX,San Antonio,https://www.pollyspetshop.com,(210) 737-5351,,Yahoo/Yelp search
Forever Pets,1604 W Bitters Rd,San Antonio,TX,San Antonio,https://www.foreverpetssa.com,(210) 483-8387,,Yahoo/Yelp search
Kriser's Natural Pet - San Antonio,255 E Basse Rd Suite 280,San Antonio,TX,San Antonio,https://www.krisers.com,(210) 930-1900,,Yahoo search
Fintique,12651 Vance Jackson Rd Suite 104,San Antonio,TX,San Antonio,https://www.fintique.com,(210) 824-2766,,Yahoo/Yelp search
Hollywood Feed - San Antonio,15403 Huebner Rd,San Antonio,TX,San Antonio,https://www.hollywoodfeed.com,(210) 481-3100,,Yahoo search
Three Dog Bakery - San Antonio,5511 Broadway,San Antonio,TX,San Antonio,https://www.threedogbakery.com,(210) 455-2275,,Yahoo search
Tulliver's Pet Food Emporium,1216 Parkway Dr,Santa Fe,NM,Santa Fe / Albuquerque,https://www.tulliverspetfood.com,(505) 989-8792,,Yahoo search
The Critters & Me,1265 Agua Fria St,Santa Fe,NM,Santa Fe / Albuquerque,https://www.crittersandme.com,(505) 471-2727,,Yahoo search
Teca Tu - A Pawsworthy Emporium & Deli,227 Don Gaspar Ave,Santa Fe,NM,Santa Fe / Albuquerque,https://www.tecatu.com,(505) 989-8297,,Yahoo/Yelp search
Eldorado Country Pet,7 Caliente Rd Suite E,Santa Fe,NM,Santa Fe / Albuquerque,http://www.eldoradocountrypet.com,(505) 466-4100,,Yahoo/Yelp search
Emilia Poochie,109 E Marcy St,Santa Fe,NM,Santa Fe / Albuquerque,https://www.emiliapoochie.com,(505) 988-1211,,Yahoo/Yelp search
Shine Pet Food - Santa Fe,1600 St Michaels Dr,Santa Fe,NM,Santa Fe / Albuquerque,https://www.shinepetfood.com,(505) 992-1161,,Yahoo/Yelp search
Feed Bin,1708 Llano St,Santa Fe,NM,Santa Fe / Albuquerque,,(505) 988-4619,,Yahoo/Yelp search
Jurassic Pets,1406 Cerrillos Rd,Santa Fe,NM,Santa Fe / Albuquerque,,(505) 474-6100,,Yahoo/Yelp search
Simply Diego's,3301 Menaul Blvd NE Suite 10,Albuquerque,NM,Santa Fe / Albuquerque,https://www.simplydiegos.com,(505) 990-0099,,Yahoo search
Boofy's Best for Pets,8201 Golf Course Rd NW Suite C-1,Albuquerque,NM,Santa Fe / Albuquerque,https://www.boofysbestforpets.com,(505) 890-0757,,Yahoo search
Clark's Pet Emporium,4914 Lomas Blvd NE,Albuquerque,NM,Santa Fe / Albuquerque,https://www.clarkspets.com,(505) 268-5977,,Yahoo search
Long Leash On Life,4416 Central Ave SE,Albuquerque,NM,Santa Fe / Albuquerque,https://www.longleashabq.com,(505) 265-1501,,Yahoo/Yelp search
Westside Pets,10701 Coors Bypass NW,Albuquerque,NM,Santa Fe / Albuquerque,,(505) 899-7387,,Yahoo/Yelp search
Jack & Rascal's,6300 San Mateo Blvd NE Suite K,Albuquerque,NM,Santa Fe / Albuquerque,,(505) 508-4020,,Yahoo/Yelp search
Country Critters,11213 Montgomery Blvd NE,Albuquerque,NM,Santa Fe / Albuquerque,,(505) 298-1680,,Yahoo/Yelp search
Perfect Pets,12201 E Iliff Ave,Aurora,CO,Denver,https://www.perfectpetsonline.com,(303) 751-2754,,Yahoo search
Woof In Boots,2500 E 3rd Ave,Denver,CO,Denver,https://www.woofinboots.com,(303) 993-4884,,Yahoo/Yelp search
Taj Mutt Hal,1555 Champa St,Denver,CO,Denver,https://www.tajmutthal.com,(303) 825-0700,,Yahoo/Yelp search
Whole Paws Natural Pet Market,3502 E 12th Ave,Denver,CO,Denver,https://www.wholepawspet.com,(303) 333-7297,,Yahoo search
Pet Supplies Plus - Colorado Springs,3630 Austin Bluffs Pkwy Suite 130,Colorado Springs,CO,Colorado Springs,https://www.petsuppliesplus.com,(719) 522-1807,,Yahoo search
Maggie Mae's Pet Boutique,2418 W Colorado Ave,Colorado Springs,CO,Colorado Springs,https://www.maggiemaespets.com,(719) 634-8812,,Yahoo search
The Healthy Pet,5716 S US Hwy 85-87,Fountain,CO,Colorado Springs,https://www.thehealthypetco.com,(719) 392-1404,,Yahoo search
Woof Gang Bakery - Colorado Springs,1685 Briargate Pkwy,Colorado Springs,CO,Colorado Springs,https://www.woofgangbakery.com,(719) 249-0450,,Yahoo search
